0.000000 	 0.139512 
0.003142 	 0.139514 
0.006283 	 0.139520 
0.009425 	 0.139530 
0.012566 	 0.139545 
0.015708 	 0.139563 
0.018850 	 0.139586 
0.021991 	 0.139613 
0.025133 	 0.139644 
0.028274 	 0.139679 
0.031416 	 0.139719 
0.034558 	 0.139762 
0.037699 	 0.139810 
0.040841 	 0.139862 
0.043982 	 0.139918 
0.047124 	 0.139978 
0.050265 	 0.140043 
0.053407 	 0.140111 
0.056549 	 0.140184 
0.059690 	 0.140261 
0.062832 	 0.140342 
0.065973 	 0.140428 
0.069115 	 0.140518 
0.072257 	 0.140612 
0.075398 	 0.140710 
0.078540 	 0.140812 
0.081681 	 0.140919 
0.084823 	 0.141030 
0.087965 	 0.141146 
0.091106 	 0.141265 
0.094248 	 0.141389 
0.097389 	 0.141518 
0.100531 	 0.141650 
0.103673 	 0.141788 
0.106814 	 0.141929 
0.109956 	 0.142075 
0.113097 	 0.142225 
0.116239 	 0.142380 
0.119381 	 0.142539 
0.122522 	 0.142703 
0.125664 	 0.142871 
0.128805 	 0.143044 
0.131947 	 0.143221 
0.135088 	 0.143403 
0.138230 	 0.143589 
0.141372 	 0.143780 
0.144513 	 0.143976 
0.147655 	 0.144176 
0.150796 	 0.144381 
0.153938 	 0.144590 
0.157080 	 0.144804 
0.160221 	 0.145023 
0.163363 	 0.145247 
0.166504 	 0.145476 
0.169646 	 0.145709 
0.172788 	 0.145947 
0.175929 	 0.146190 
0.179071 	 0.146438 
0.182212 	 0.146691 
0.185354 	 0.146948 
0.188496 	 0.147211 
0.191637 	 0.147479 
0.194779 	 0.147752 
0.197920 	 0.148029 
0.201062 	 0.148312 
0.204204 	 0.148600 
0.207345 	 0.148893 
0.210487 	 0.149192 
0.213628 	 0.149496 
0.216770 	 0.149804 
0.219911 	 0.150119 
0.223053 	 0.150438 
0.226195 	 0.150763 
0.229336 	 0.151094 
0.232478 	 0.151429 
0.235619 	 0.151771 
0.238761 	 0.152118 
0.241903 	 0.152470 
0.245044 	 0.152828 
0.248186 	 0.153192 
0.251327 	 0.153562 
0.254469 	 0.153937 
0.257611 	 0.154318 
0.260752 	 0.154705 
0.263894 	 0.155098 
0.267035 	 0.155496 
0.270177 	 0.155901 
0.273319 	 0.156312 
0.276460 	 0.156729 
0.279602 	 0.157152 
0.282743 	 0.157581 
0.285885 	 0.158017 
0.289027 	 0.158458 
0.292168 	 0.158907 
0.295310 	 0.159361 
0.298451 	 0.159822 
0.301593 	 0.160290 
0.304734 	 0.160764 
0.307876 	 0.161245 
0.311018 	 0.161733 
0.314159 	 0.162227 
0.317301 	 0.162729 
0.320442 	 0.163237 
0.323584 	 0.163752 
0.326726 	 0.164274 
0.329867 	 0.164804 
0.333009 	 0.165340 
0.336150 	 0.165884 
0.339292 	 0.166435 
0.342434 	 0.166994 
0.345575 	 0.167560 
0.348717 	 0.168133 
0.351858 	 0.168714 
0.355000 	 0.169303 
0.358142 	 0.169900 
0.361283 	 0.170505 
0.364425 	 0.171117 
0.367566 	 0.171738 
0.370708 	 0.172367 
0.373850 	 0.173003 
0.376991 	 0.173649 
0.380133 	 0.174302 
0.383274 	 0.174964 
0.386416 	 0.175635 
0.389558 	 0.176315 
0.392699 	 0.177003 
0.395841 	 0.177700 
0.398982 	 0.178406 
0.402124 	 0.179121 
0.405265 	 0.179845 
0.408407 	 0.180578 
0.411549 	 0.181321 
0.414690 	 0.182074 
0.417832 	 0.182836 
0.420973 	 0.183607 
0.424115 	 0.184389 
0.427257 	 0.185180 
0.430398 	 0.185982 
0.433540 	 0.186794 
0.436681 	 0.187616 
0.439823 	 0.188448 
0.442965 	 0.189291 
0.446106 	 0.190145 
0.449248 	 0.191009 
0.452389 	 0.191885 
0.455531 	 0.192771 
0.458673 	 0.193669 
0.461814 	 0.194578 
0.464956 	 0.195499 
0.468097 	 0.196431 
0.471239 	 0.197376 
0.474380 	 0.198332 
0.477522 	 0.199300 
0.480664 	 0.200281 
0.483805 	 0.201273 
0.486947 	 0.202279 
0.490088 	 0.203297 
0.493230 	 0.204329 
0.496372 	 0.205373 
0.499513 	 0.206430 
0.502655 	 0.207501 
0.505796 	 0.208586 
0.508938 	 0.209685 
0.512080 	 0.210797 
0.515221 	 0.211924 
0.518363 	 0.213065 
0.521504 	 0.214220 
0.524646 	 0.215391 
0.527788 	 0.216576 
0.530929 	 0.217777 
0.534071 	 0.218993 
0.537212 	 0.220225 
0.540354 	 0.221472 
0.543496 	 0.222736 
0.546637 	 0.224015 
0.549779 	 0.225312 
0.552920 	 0.226625 
0.556062 	 0.227955 
0.559204 	 0.229303 
0.562345 	 0.230667 
0.565487 	 0.232050 
0.568628 	 0.233451 
0.571770 	 0.234870 
0.574911 	 0.236308 
0.578053 	 0.237764 
0.581195 	 0.239239 
0.584336 	 0.240734 
0.587478 	 0.242249 
0.590619 	 0.243784 
0.593761 	 0.245339 
0.596903 	 0.246914 
0.600044 	 0.248511 
0.603186 	 0.250128 
0.606327 	 0.251768 
0.609469 	 0.253429 
0.612611 	 0.255112 
0.615752 	 0.256818 
0.618894 	 0.258547 
0.622035 	 0.260299 
0.625177 	 0.262075 
0.628319 	 0.263875 
0.631460 	 0.265700 
0.634602 	 0.267549 
0.637743 	 0.269424 
0.640885 	 0.271324 
0.644027 	 0.273250 
0.647168 	 0.275203 
0.650310 	 0.277182 
0.653451 	 0.279189 
0.656593 	 0.281224 
0.659734 	 0.283287 
0.662876 	 0.285379 
0.666018 	 0.287500 
0.669159 	 0.289651 
0.672301 	 0.291832 
